Instance,Initial_State,Steps,Runtime,Solved
0,"[6, 8, 3, 2, 5, 7, 1, 0, 4]",23,0.0026543140411376953,True
1,"[0, 8, 5, 1, 4, 2, 7, 6, 3]",28,0.07113218307495117,True
2,"[0, 3, 4, 2, 6, 7, 1, 8, 5]",24,0.009171485900878906,True
3,"[8, 1, 0, 2, 6, 3, 7, 4, 5]",26,0.014398574829101562,True
4,"[4, 6, 7, 0, 3, 5, 8, 2, 1]",23,0.0039637088775634766,True
5,"[8, 3, 1, 0, 7, 5, 2, 6, 4]",21,0.0025725364685058594,True
6,"[2, 6, 7, 5, 0, 3, 8, 4, 1]",26,0.012812376022338867,True
7,"[1, 0, 6, 4, 2, 3, 8, 5, 7]",23,0.0041730403900146484,True
8,"[7, 5, 3, 0, 8, 2, 6, 4, 1]",25,0.012382030487060547,True
9,"[1, 6, 5, 4, 3, 0, 7, 8, 2]",21,0.003077268600463867,True
10,"[6, 1, 3, 7, 0, 2, 4, 8, 5]",14,0.0001811981201171875,True
11,"[4, 0, 2, 6, 5, 1, 3, 8, 7]",23,0.007178068161010742,True
12,"[3, 7, 2, 1, 8, 0, 4, 6, 5]",19,0.002100229263305664,True
13,"[7, 5, 1, 3, 8, 0, 6, 2, 4]",21,0.0027501583099365234,True
14,"[8, 2, 0, 7, 5, 1, 6, 3, 4]",28,0.05319476127624512,True
15,"[0, 2, 1, 8, 4, 5, 6, 7, 3]",26,0.013982772827148438,True
16,"[0, 2, 6, 7, 8, 4, 3, 1, 5]",26,0.011053323745727539,True
17,"[3, 8, 2, 1, 4, 7, 0, 6, 5]",18,0.001153707504272461,True
18,"[4, 0, 2, 8, 3, 7, 6, 5, 1]",19,0.0011675357818603516,True
19,"[7, 4, 8, 3, 6, 5, 0, 2, 1]",28,0.06078767776489258,True
20,"[7, 6, 3, 2, 4, 1, 0, 8, 5]",20,0.0009083747863769531,True
21,"[5, 3, 8, 2, 7, 6, 4, 0, 1]",21,0.0006968975067138672,True
22,"[3, 2, 7, 8, 0, 1, 5, 4, 6]",18,0.0004401206970214844,True
23,"[1, 2, 7, 0, 6, 4, 3, 5, 8]",21,0.005544900894165039,True
24,"[5, 2, 6, 4, 1, 3, 0, 7, 8]",22,0.0035359859466552734,True
25,"[2, 4, 7, 0, 3, 1, 5, 6, 8]",23,0.008212566375732422,True
26,"[6, 7, 5, 3, 8, 0, 4, 2, 1]",23,0.007035017013549805,True
27,"[2, 0, 3, 7, 5, 8, 1, 6, 4]",23,0.004744052886962891,True
28,"[3, 6, 7, 1, 5, 0, 4, 8, 2]",25,0.015318155288696289,True
29,"[0, 1, 5, 6, 3, 8, 4, 7, 2]",18,0.0009107589721679688,True
30,"[7, 0, 4, 1, 2, 5, 6, 8, 3]",19,0.0013270378112792969,True
31,"[1, 7, 0, 2, 5, 8, 6, 3, 4]",24,0.010801553726196289,True
32,"[0, 1, 7, 4, 3, 5, 2, 8, 6]",26,0.01881122589111328,True
33,"[0, 4, 8, 5, 1, 3, 6, 2, 7]",18,0.0003535747528076172,True
34,"[0, 4, 2, 3, 8, 1, 5, 7, 6]",24,0.011626720428466797,True
35,"[8, 5, 2, 6, 1, 3, 7, 4, 0]",26,0.01762533187866211,True
36,"[7, 5, 1, 2, 8, 6, 4, 0, 3]",23,0.0025718212127685547,True
37,"[7, 1, 2, 0, 5, 8, 3, 6, 4]",17,0.0010724067687988281,True
38,"[6, 7, 1, 2, 8, 5, 4, 0, 3]",23,0.00514984130859375,True
39,"[5, 1, 8, 3, 0, 4, 6, 2, 7]",16,0.0006296634674072266,True
40,"[2, 8, 1, 5, 3, 6, 4, 7, 0]",24,0.006680488586425781,True
41,"[8, 7, 1, 6, 0, 4, 5, 3, 2]",24,0.00609588623046875,True
42,"[3, 5, 2, 8, 1, 7, 0, 4, 6]",22,0.004905223846435547,True
43,"[0, 2, 8, 5, 3, 6, 7, 4, 1]",24,0.008392810821533203,True
44,"[3, 4, 1, 0, 2, 5, 8, 6, 7]",17,0.0006201267242431641,True
45,"[6, 7, 8, 2, 1, 0, 5, 3, 4]",25,0.007301807403564453,True
46,"[4, 1, 7, 8, 3, 6, 2, 0, 5]",25,0.007791280746459961,True
47,"[1, 4, 6, 0, 5, 3, 7, 8, 2]",21,0.0019834041595458984,True
48,"[5, 0, 4, 6, 3, 2, 8, 7, 1]",23,0.005325794219970703,True
49,"[2, 8, 1, 7, 0, 4, 5, 6, 3]",26,0.024051427841186523,True
50,"[4, 6, 1, 0, 2, 5, 3, 7, 8]",17,0.000980377197265625,True
51,"[6, 4, 1, 8, 0, 3, 5, 2, 7]",22,0.0030701160430908203,True
52,"[1, 4, 6, 5, 7, 0, 8, 3, 2]",23,0.002652406692504883,True
53,"[3, 8, 5, 6, 0, 7, 1, 4, 2]",22,0.005579233169555664,True
54,"[1, 8, 7, 0, 4, 3, 5, 6, 2]",23,0.0015277862548828125,True
55,"[8, 0, 4, 2, 1, 7, 5, 6, 3]",25,0.0073795318603515625,True
56,"[3, 5, 2, 1, 4, 8, 6, 7, 0]",18,0.0016734600067138672,True
57,"[3, 1, 5, 8, 2, 7, 4, 6, 0]",18,0.0010600090026855469,True
58,"[3, 5, 1, 4, 0, 6, 7, 2, 8]",18,0.001359701156616211,True
59,"[2, 8, 6, 3, 4, 7, 5, 0, 1]",25,0.006947040557861328,True
60,"[4, 2, 8, 6, 3, 1, 7, 0, 5]",17,0.0008769035339355469,True
61,"[7, 4, 1, 0, 5, 3, 8, 2, 6]",25,0.005072832107543945,True
62,"[2, 0, 1, 5, 7, 8, 3, 6, 4]",21,0.0034341812133789062,True
63,"[7, 1, 2, 5, 0, 3, 6, 8, 4]",22,0.0041141510009765625,True
64,"[8, 4, 3, 6, 5, 1, 7, 0, 2]",21,0.002027273178100586,True
65,"[2, 7, 6, 5, 3, 8, 1, 0, 4]",27,0.01444864273071289,True
66,"[4, 5, 0, 3, 2, 8, 6, 7, 1]",18,0.0011227130889892578,True
67,"[0, 3, 4, 2, 8, 6, 7, 5, 1]",24,0.010392189025878906,True
68,"[8, 6, 4, 0, 7, 1, 2, 5, 3]",29,0.03229379653930664,True
69,"[8, 4, 2, 1, 6, 3, 7, 5, 0]",20,0.0013179779052734375,True
70,"[4, 5, 6, 3, 8, 2, 0, 7, 1]",24,0.011169195175170898,True
71,"[2, 7, 1, 6, 3, 8, 0, 5, 4]",22,0.0064067840576171875,True
72,"[4, 8, 0, 7, 2, 1, 6, 5, 3]",22,0.0049495697021484375,True
73,"[3, 7, 0, 1, 6, 8, 4, 2, 5]",26,0.01717090606689453,True
74,"[3, 7, 0, 1, 5, 8, 2, 4, 6]",24,0.0052869319915771484,True
75,"[4, 3, 0, 8, 5, 7, 1, 6, 2]",20,0.0005691051483154297,True
76,"[3, 8, 6, 4, 2, 5, 1, 0, 7]",23,0.003894805908203125,True
77,"[2, 0, 3, 4, 7, 5, 8, 6, 1]",23,0.0033740997314453125,True
78,"[6, 4, 7, 5, 8, 3, 1, 2, 0]",24,0.0032672882080078125,True
79,"[2, 3, 1, 8, 6, 7, 4, 5, 0]",22,0.0031545162200927734,True
80,"[4, 7, 6, 2, 5, 3, 1, 8, 0]",26,0.005444049835205078,True
81,"[1, 5, 7, 3, 4, 8, 0, 6, 2]",18,0.0011377334594726562,True
82,"[0, 4, 6, 3, 1, 5, 2, 7, 8]",24,0.00824594497680664,True
83,"[5, 1, 4, 0, 2, 6, 8, 7, 3]",23,0.002156496047973633,True
84,"[1, 5, 8, 4, 3, 0, 2, 7, 6]",23,0.005486249923706055,True
85,"[0, 6, 2, 7, 1, 3, 5, 8, 4]",22,0.003885030746459961,True
86,"[8, 5, 2, 7, 1, 6, 0, 3, 4]",26,0.02047276496887207,True
87,"[7, 4, 8, 1, 2, 6, 3, 5, 0]",24,0.0042378902435302734,True
88,"[7, 5, 8, 1, 4, 6, 0, 3, 2]",26,0.011844635009765625,True
89,"[7, 4, 8, 5, 3, 6, 0, 2, 1]",28,0.019791603088378906,True
90,"[7, 1, 3, 5, 2, 0, 6, 4, 8]",23,0.008628129959106445,True
91,"[7, 0, 2, 5, 3, 4, 6, 8, 1]",23,0.009219884872436523,True
92,"[0, 8, 7, 3, 5, 4, 1, 2, 6]",26,0.007546186447143555,True
93,"[5, 2, 8, 1, 0, 7, 4, 3, 6]",18,0.0006742477416992188,True
94,"[3, 2, 5, 1, 6, 7, 0, 8, 4]",18,0.0006771087646484375,True
95,"[4, 8, 6, 3, 0, 2, 7, 1, 5]",22,0.004663944244384766,True
96,"[4, 1, 5, 0, 6, 3, 7, 8, 2]",17,0.0011813640594482422,True
97,"[6, 4, 1, 5, 7, 3, 0, 8, 2]",20,0.0011959075927734375,True
98,"[0, 3, 7, 6, 5, 1, 8, 2, 4]",20,0.001779317855834961,True
99,"[8, 5, 6, 1, 3, 4, 7, 0, 2]",25,0.00379180908203125,True
