Problem,Instance,Algorithm,Initial State,Final State,Initial Value,Final Value,Value Improvement,Solution Found,Steps,Runtime,Value History
8-Puzzle,0,Hill Climbing (Steepest),"(0, 6, 3, 8, 7, 5, 1, 4, 2)","(6, 3, 0, 8, 7, 5, 1, 4, 2)",-16,-14,-2,False,2,4.315376281738281e-05,"[-16, -15, -14]"
8-Puzzle,0,Hill Climbing (First Choice),"(0, 6, 3, 8, 7, 5, 1, 4, 2)","(6, 3, 0, 8, 7, 5, 1, 4, 2)",-16,-14,-2,False,2,2.1696090698242188e-05,"[-16, -15, -14]"
8-Puzzle,0,Hill Climbing (Random Restart),"(0, 6, 3, 8, 7, 5, 1, 4, 2)","(0, 2, 1, 5, 3, 7, 6, 4, 8)",-16,-8,-8,False,25,0.0003714561462402344,"[-13, -12, -11, -13, -12, -11, -10, -10, -9, -18, -17, -16, -10, -13, -12, -15, -14, -15, -14, -13, -12, -11, -10, -8, -11, -10]"
8-Puzzle,0,Simulated Annealing (Exponential),"(0, 6, 3, 8, 7, 5, 1, 4, 2)","(1, 8, 0, 6, 7, 4, 5, 2, 3)",-16,-16,0,False,968,0.003229379653930664,"[-16, -15, -16, -17, -16, -15, -16, -15, -16, -15, -14, -15, -14, -15, -14, -15, -14, -15, -14, -13, -14, -13, -14, -13, -14, -13, -14, -13, -14, -15, -14, -15, -14, -15, -14, -15, -14, -15, -14, -13, -14, -13, -14, -15, -14, -15, -14, -15, -14, -15, -14, -15, -14, -15, -14, -15, -14, -15, -14, -15, -14, -15, -14, -15, -14, -15, -14, -15, -14, -15, -16, -15, -16, -15, -16, -17, -16, -15, -16, -17, -16, -15, -16, -17, -16, -17, -18, -17, -16, -17, -16, -15, -16, -15, -16, -15, -14, -15, -14, -15, -16, -15, -14, -15, -16, -15, -16, -15, -16, -15, -16, -15, -16, -15, -14, -15, -14, -15, -16, -15, -16, -15, -16, -15, -16, -15, -16, -15, -16, -15, -16, -15, -14, -13, -14, -13, -12, -13, -12, -13, -14, -15, -14, -13, -14, -15, -14, -15, -16, -15, -14, -15, -14, -15, -16, -17, -16, -17, -16, -15, -16, -15, -16, -15, -14, -15, -14, -15, -14, -15, -14, -13, -12, -13, -12, -13, -12, -13, -12, -13, -12, -13, -12, -13, -12, -13, -12, -13, -12, -13, -14, -13, -12, -11, -12, -11, -10, -11, -12, -11, -12, -11, -10, -11, -12, -13, -12, -13, -12, -13, -12, -13, -14, -13, -14, -13, -12, -13, -14, -13, -12, -13, -14, -15, -14, -15, -16, -15, -16, -15, -16, -17, -16, -17, -16, -17, -16, -15, -14, -15, -16, -17, -16, -15, -16, -17, -16, -15, -14, -15, -14, -15, -16, -15, -16, -17, -16, -17, -16, -17, -16, -17, -16, -17, -16, -15, -16, -15, -14, -15, -14, -15, -14, -15, -16, -17, -16, -17, -16, -17, -16, -15, -14, -13, -14, -15, -14, -15, -14, -13, -14, -15, -14, -15, -14, -15, -14, -15, -14, -13, -12, -11, -10, -11, -12, -11, -10, -11, -10, -11, -10, -11, -10, -11, -10, -11, -12, -13, -12, -11, -10, -11, -12, -13, -14, -13, -12, -11, -12, -11, -10, -11, -12, -11, -10, -11, -10, -11, -12, -11, -12, -13, -14, -15, -14, -15, -16, -15, -16, -15, -16, -15, -16, -15, -14, -15, -16, -17, -16, -17, -16, -17, -16, -17, -16, -15, -16, -15, -14, -15, -14, -15, -14, -15, -14, -15, -14, -15, -14, -15, -14, -15, -14, -15, -14, -15, -14, -15, -16, -15, -14, -15, -14, -15, -14, -15, -14, -15, -14, -15, -14, -15, -14, -15, -16, -17, -16, -17, -16, -17, -16, -15, -16, -15, -16, -15, -16, -15, -14, -15, -16, -15, -14, -13, -14, -13, -12, -11, -12, -11, -12, -13, -12, -13, -14, -15, -14, -13, -14, -13, -12, -11, -12, -11, -12, -11, -12, -11, -10, -11, -12, -11, -12, -11, -12, -11, -12, -11, -12, -11, -12, -11, -10, -11, -12, -11, -12, -13, -12, -11, -12, -11, -12, -11, -12, -11, -12, -11, -10, -11, -10, -11, -10, -11, -10, -11, -12, -11, -10, -11, -12, -11, -10, -11, -12, -11, -12, -11, -12, -11, -10, -11, -12, -11, -10, -11, -12, -11, -12, -13, -12, -13, -12, -13, -12, -13, -12, -11, -12, -11, -12, -11, -12, -13, -12, -13, -14, -15, -14, -15, -16, -15, -14, -13, -12, -13, -12, -13, -12, -13, -12, -13, -12, -13, -12, -13, -12, -13, -12, -11, -10, -11, -10, -11, -10, -11, -10, -11, -10, -11, -12, -11, -10, -11, -12, -11, -10, -11, -10, -11, -10, -9, -10, -9, -10, -9, -10, -11, -10, -11, -10, -11, -12, -11, -12, -13, -14, -13, -12, -13, -14, -13, -12, -13, -12, -13, -12, -13, -12, -11, -12, -11, -12, -11, -10, -11, -10, -11, -10, -11, -12, -13, -12, -13, -12, -13, -14, -13, -12, -13, -14, -13, -14, -13, -14, -13, -14, -13, -14, -13, -12, -13, -14, -13, -14, -13, -14, -13, -12, -11, -10, -11, -10, -11, -10, -9, -8, -9, -10, -9, -8, -9, -10, -11, -10, -11, -10, -9, -10, -9, -8, -9, -8, -9, -10, -9, -8, -9, -10, -11, -10, -11, -10, -11, -10, -11, -10, -11, -10, -11, -10, -11, -10, -11, -10, -11, -10, -11, -10, -11, -10, -11, -10, -11, -10, -11, -10, -11, -10, -11, -10, -11, -10, -11, -10, -11, -10, -9, -8, -9, -8, -9, -8, -9, -8, -9, -10, -9, -10, -9, -8, -9, -10, -9, -8, -9, -8, -7, -6, -7, -8, -9, -8, -7, -6, -7, -6, -7, -6, -7, -8, -7, -8, -9, -8, -7, -8, -9, -8, -9, -10, -11, -10, -11, -12, -13, -14, -15, -16, -15, -14, -13, -12, -11, -12, -11, -10, -11, -10, -9, -10, -9, -10, -11, -10, -9, -10, -11, -10, -11, -10, -11, -10, -11, -10, -11, -10, -11, -10, -11, -10, -11, -10, -11, -12, -11, -12, -11, -10, -9, -10, -9, -10, -9, -10, -9, -8, -9, -8, -7, -8, -7, -6, -7, -8, -7, -6, -7, -8, -7, -8, -9, -10, -9, -8, -9, -8, -9, -8, -9, -10, -9, -8, -9, -10, -11, -12, -13, -12, -13, -12, -11, -12, -13, -12, -11, -10, -11, -12, -13, -12, -11, -12, -13, -14, -13, -12, -11, -12, -11, -12, -13, -14, -13, -14, -13, -12, -11, -10, -11, -10, -11, -10, -11, -10, -11, -10, -11, -10, -11, -12, -11, -10, -11, -12, -13, -14, -15, -14, -15, -14, -15, -16, -15, -14, -15, -16, -15, -16, -15, -16, -15, -16, -15, -16, -17, -18, -19, -18, -19, -18, -19, -18, -19, -20, -19, -18, -19, -20, -19, -18, -19, -20, -19, -18, -19, -20, -19, -20, -19, -20, -19, -18, -19, -18, -17, -16, -17, -18, -17, -18, -17, -18, -19, -18, -19, -20, -19, -18, -19, -18, -17, -16, -15, -14, -15, -14, -15, -14, -15, -14, -15, -14, -15, -16, -15, -14, -15, -16]"
8-Puzzle,0,Simulated Annealing (Linear),"(0, 6, 3, 8, 7, 5, 1, 4, 2)","(8, 1, 2, 3, 0, 5, 6, 7, 4)",-16,-6,-10,False,240,0.003355741500854492,"[-16, -15, -16, -15, -16, -17, -16, -15, -16, -15, -14, -15, -14, -15, -14, -15, -14, -13, -12, -13, -12, -11, -12, -11, -12, -11, -12, -11, -12, -11, -12, -11, -10, -9, -8, -9, -8, -7, -8, -9, -8, -9, -8, -9, -10, -9, -10, -9, -8, -9, -8, -9, -8, -9, -10, -11, -10, -9, -8, -9, -8, -9, -10, -9, -8, -9, -8, -7, -8, -9, -10, -11, -10, -9, -8, -7, -8, -9, -8, -9, -8, -9, -8, -9, -8, -7, -8, -9, -10, -9, -8, -9, -8, -9, -8, -7, -6, -7, -8, -7, -8, -7, -8, -7, -8, -9, -8, -9, -8, -9, -8, -9, -8, -9, -8, -9, -8, -7, -8, -7, -6, -7, -6, -7, -8, -7, -6, -7, -6, -7, -6, -7, -8, -7, -8, -7, -8, -7, -8, -7, -8, -7, -8, -7, -6, -7, -6, -7, -6, -7, -8, -7, -6, -7, -6, -7, -8, -7, -6, -7, -6, -7, -6, -7, -6, -7, -6, -7, -8, -7, -6, -7, -6, -7, -6, -7, -8, -7, -6, -7, -6, -7, -6, -7, -6, -7, -6, -7, -6, -7, -8, -9, -8, -9, -8, -9, -8, -9, -8, -9, -8, -9, -8, -9, -8, -7, -6, -7, -6, -7, -8, -7, -8, -7, -8, -7, -8, -7, -6, -7, -6, -7, -6, -7, -6, -7, -6, -7, -6, -7, -6, -7, -6, -7, -6, -7, -6, -7, -6, -7, -6]"
8-Puzzle,1,Hill Climbing (Steepest),"(7, 8, 6, 0, 1, 5, 2, 3, 4)","(0, 8, 6, 7, 1, 5, 2, 3, 4)",-19,-18,-1,False,1,1.6927719116210938e-05,"[-19, -18]"
8-Puzzle,1,Hill Climbing (First Choice),"(7, 8, 6, 0, 1, 5, 2, 3, 4)","(0, 8, 6, 7, 1, 5, 2, 3, 4)",-19,-18,-1,False,1,1.0728836059570312e-05,"[-19, -18]"
8-Puzzle,1,Hill Climbing (Random Restart),"(7, 8, 6, 0, 1, 5, 2, 3, 4)","(2, 1, 0, 5, 4, 3, 6, 7, 8)",-19,-6,-13,False,26,0.0002257823944091797,"[-13, -12, -16, -15, -14, -17, -16, -15, -14, -15, -14, -10, -11, -10, -14, -13, -17, -16, -14, -13, -12, -11, -10, -9, -8, -7, -6]"
8-Puzzle,1,Simulated Annealing (Exponential),"(7, 8, 6, 0, 1, 5, 2, 3, 4)","(3, 1, 5, 7, 4, 2, 6, 0, 8)",-19,-5,-14,False,970,0.003007650375366211,"[-19, -18, -17, -18, -19, -18, -19, -18, -17, -18, -19, -18, -19, -18, -19, -18, -17, -18, -17, -16, -17, -16, -17, -16, -17, -16, -17, -16, -15, -14, -15, -14, -15, -14, -15, -14, -15, -14, -15, -14, -15, -16, -17, -16, -17, -16, -17, -18, -17, -18, -17, -16, -17, -16, -17, -16, -17, -16, -17, -16, -17, -16, -17, -18, -17, -16, -17, -18, -17, -16, -17, -16, -17, -18, -17, -18, -17, -16, -17, -16, -17, -18, -19, -18, -17, -18, -19, -18, -17, -18, -19, -18, -19, -18, -19, -18, -19, -18, -19, -20, -21, -20, -21, -20, -21, -22, -21, -20, -21, -22, -21, -20, -21, -20, -21, -22, -21, -20, -19, -18, -17, -16, -17, -18, -17, -18, -17, -16, -17, -16, -15, -14, -15, -16, -17, -16, -17, -16, -17, -16, -17, -16, -15, -14, -15, -14, -15, -16, -15, -16, -15, -14, -15, -16, -15, -16, -15, -16, -17, -18, -19, -20, -19, -20, -19, -18, -17, -18, -17, -18, -17, -16, -17, -16, -17, -18, -17, -16, -15, -14, -15, -16, -15, -16, -15, -16, -17, -16, -15, -16, -15, -16, -15, -16, -15, -14, -15, -14, -15, -16, -15, -16, -15, -16, -15, -16, -15, -14, -15, -16, -15, -14, -13, -12, -13, -14, -13, -12, -13, -12, -13, -12, -13, -12, -13, -12, -13, -12, -11, -10, -9, -10, -11, -12, -11, -10, -11, -10, -11, -10, -11, -10, -11, -10, -11, -10, -11, -12, -11, -10, -11, -10, -11, -10, -11, -12, -11, -10, -11, -10, -11, -12, -13, -14, -15, -14, -15, -14, -15, -14, -13, -14, -15, -14, -13, -12, -11, -12, -11, -12, -13, -12, -13, -12, -13, -12, -13, -12, -13, -12, -13, -12, -13, -12, -13, -12, -11, -10, -11, -10, -11, -10, -11, -10, -11, -10, -11, -10, -11, -10, -11, -10, -11, -10, -11, -10, -11, -10, -11, -10, -11, -10, -11, -10, -11, -12, -11, -10, -11, -10, -11, -12, -13, -12, -11, -12, -13, -12, -13, -12, -13, -12, -13, -12, -13, -12, -13, -12, -13, -12, -13, -12, -13, -12, -13, -12, -13, -14, -15, -14, -13, -14, -13, -14, -15, -14, -15, -14, -15, -14, -15, -16, -15, -14, -15, -16, -15, -16, -15, -16, -15, -16, -17, -16, -15, -16, -15, -16, -15, -16, -17, -16, -17, -16, -15, -14, -15, -14, -15, -14, -15, -16, -17, -16, -17, -16, -15, -14, -15, -14, -15, -14, -15, -14, -15, -14, -15, -14, -13, -12, -13, -12, -13, -12, -13, -12, -13, -12, -13, -12, -13, -12, -11, -12, -11, -12, -11, -10, -11, -12, -11, -10, -11, -10, -11, -10, -9, -10, -11, -10, -11, -10, -11, -10, -9, -10, -9, -10, -9, -8, -7, -8, -7, -8, -7, -8, -9, -8, -7, -8, -9, -8, -9, -8, -7, -8, -9, -10, -11, -10, -11, -10, -9, -10, -9, -10, -9, -10, -9, -10, -9, -10, -9, -10, -11, -10, -9, -10, -9, -10, -9, -8, -7, -8, -9, -10, -9, -10, -9, -10, -9, -10, -9, -10, -9, -8, -7, -6, -7, -8, -9, -10, -9, -8, -9, -8, -9, -8, -9, -8, -9, -8, -9, -8, -7, -8, -9, -8, -9, -8, -7, -8, -7, -8, -7, -8, -9, -10, -9, -8, -7, -8, -9, -8, -9, -8, -7, -6, -7, -8, -7, -6, -7, -8, -7, -6, -7, -6, -5, -6, -5, -6, -7, -6, -7, -6, -7, -8, -7, -6, -5, -4, -5, -6, -7, -8, -7, -6, -5, -6, -5, -6, -7, -8, -9, -8, -9, -10, -9, -8, -9, -10, -9, -10, -9, -10, -11, -12, -11, -10, -11, -12, -13, -12, -13, -12, -13, -12, -13, -12, -13, -12, -13, -12, -11, -12, -11, -12, -11, -12, -11, -12, -11, -12, -11, -12, -11, -10, -11, -10, -11, -10, -9, -10, -9, -8, -9, -10, -11, -10, -11, -10, -11, -10, -11, -10, -11, -10, -11, -10, -11, -10, -9, -10, -9, -10, -9, -10, -9, -10, -11, -12, -11, -12, -13, -12, -11, -10, -9, -10, -11, -12, -11, -12, -11, -10, -11, -12, -13, -12, -13, -12, -13, -12, -13, -12, -11, -12, -11, -12, -11, -12, -11, -12, -11, -12, -11, -12, -11, -12, -11, -12, -11, -12, -11, -12, -11, -12, -11, -12, -13, -14, -13, -12, -11, -12, -11, -10, -11, -10, -11, -10, -9, -10, -11, -10, -9, -10, -11, -10, -9, -10, -11, -12, -11, -12, -11, -12, -11, -10, -11, -12, -11, -10, -11, -12, -11, -12, -11, -12, -13, -12, -11, -12, -11, -12, -11, -12, -11, -12, -13, -14, -13, -12, -13, -14, -13, -14, -15, -16, -17, -16, -15, -14, -15, -16, -17, -16, -15, -14, -13, -12, -11, -12, -11, -12, -11, -12, -13, -12, -13, -12, -11, -12, -11, -12, -11, -10, -9, -10, -11, -10, -11, -10, -11, -12, -11, -12, -11, -10, -11, -10, -9, -10, -9, -8, -9, -8, -9, -8, -9, -10, -9, -8, -9, -10, -9, -10, -9, -10, -9, -10, -9, -8, -9, -10, -9, -8, -9, -10, -9, -10, -9, -10, -9, -10, -9, -10, -9, -10, -9, -8, -9, -8, -9, -8, -9, -10, -11, -10, -11, -10, -11, -10, -11, -10, -11, -10, -11, -10, -11, -10, -11, -12, -13, -14, -13, -12, -11, -12, -13, -12, -11, -10, -9, -10, -11, -12, -11, -12, -13, -14, -13, -14, -13, -14, -15, -16, -15, -14, -15, -14, -15, -14, -13, -12, -13, -12, -13, -14, -13, -12, -13, -14, -15, -16, -15, -16, -15, -14, -13, -12, -11, -10, -9, -8, -9, -10, -9, -8, -9, -8, -7, -8, -9, -8, -7, -8, -9, -10, -9, -10, -9, -10, -9, -10, -9, -8, -7, -6, -7, -8, -7, -6, -7, -6, -7, -6, -5, -6, -5]"
8-Puzzle,1,Simulated Annealing (Linear),"(7, 8, 6, 0, 1, 5, 2, 3, 4)","(0, 1, 5, 3, 4, 2, 7, 6, 8)",-19,-4,-15,False,227,0.002755403518676758,"[-19, -20, -19, -18, -19, -18, -19, -18, -19, -18, -17, -16, -15, -14, -13, -12, -13, -12, -11, -10, -9, -8, -9, -10, -9, -10, -9, -8, -9, -8, -9, -10, -9, -8, -9, -8, -9, -10, -9, -10, -9, -8, -7, -6, -7, -6, -5, -6, -7, -6, -5, -6, -5, -6, -5, -6, -5, -6, -5, -4, -5, -4, -5, -6, -5, -6, -7, -6, -7, -8, -7, -8, -9, -8, -7, -6, -5, -6, -5, -6, -5, -6, -5, -6, -5, -6, -7, -6, -5, -6, -5, -6, -5, -6, -7, -6, -5, -6, -5, -6, -5, -6, -5, -6, -5, -6, -5, -6, -5, -6, -5, -6, -7, -8, -7, -8, -7, -6, -5, -6, -5, -6, -5, -6, -5, -6, -5, -6, -5, -6, -5, -6, -5, -4, -5, -4, -5, -4, -5, -4, -5, -4, -5, -4, -5, -4, -5, -4, -5, -4, -5, -4, -5, -4, -5, -4, -5, -4, -5, -6, -5, -4, -5, -6, -5, -4, -5, -4, -5, -4, -5, -4, -5, -4, -5, -4, -5, -6, -5, -6, -5, -6, -5, -6, -5, -4, -5, -4, -5, -4, -5, -4, -5, -4, -5, -4, -5, -4, -5, -4, -5, -4, -5, -4, -5, -4, -5, -4, -5, -4, -5, -4, -5, -4, -5, -6, -5, -4, -5, -4, -5, -6, -5, -4, -5, -4, -5, -4]"
